reason_for_credit_entry,sub_order_no,order_date,customer_state,product_name,sku,size,quantity,supplier_listed_price_(incl._gst_+_commission),supplier_discounted_price_(incl_gst_and_commision),order_status,pin,delivery_state,gst_amount,meesho_price,shipping_charges_total,final_price,forward_order_date,is_rto
DELIVERED,381809810413_1,2022-08-30,Jammu & Kashmir,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XL,1,1400.0,1400.0,Shipped,180006,Jammu & Kashmir,66.68,1400,121,1521,2022-08-30,0.0
RTO_LOCKED,940712900368_1,2022-08-10,Uttar Pradesh,Fancy embroidery sequence work gown with dupatta ,Dhk1094,XL,1,1461.0,1461.0,rto,208014,Uttar Pradesh,69.58,1461,114,1575,2022-08-10,1.0
DELIVERED,322259568161_1,2022-08-03,Telangana, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,Delivered,509001,Telangana,64.3,1350,108,1440,2022-08-03,0.0
CANCELLED,475133679575_1,2022-08-27,Jammu & Kashmir,FIVESTAR Bridal Wedding Gorgette Lehengha with soft net Dupata,6320,Semi Stitched,1,1910.0,1910.0,Cancelled,182101,Jammu & Kashmir,98.96,2078,0,2078,2022-08-27,1.0
RTO_COMPLETE,493966375185_1,2022-08-04,Odisha, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,rto,760001,Odisha,64.3,1350,108,1458,2022-08-04,1.0
DELIVERED,284641390076_1,2022-08-09,Maharashtra, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Delivered,400607,Maharashtra,64.3,1350,105,1439,2022-08-09,0.0
DELIVERED,528661643961_1,2022-08-02,West Bengal,stlish dress,mk -6114,XL,1,750.0,750.0,Return,700061,West Bengal,35.72,750,79,829,2022-08-02,1.0
DELIVERED,313984293646_1,2022-08-15,West Bengal,Heavy faux georgette with embroidery work with moti latkan border with sleev  Dupatta Sets ,Ad 009 a,XXL,1,1500.0,1500.0,Delivered,700091,West Bengal,71.44,1500,110,1610,2022-08-15,0.0
RTO_COMPLETE,545646779706_1,2022-08-08,Andhra Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,rto,515501,Andhra Pradesh,64.3,1350,114,1464,2022-08-08,1.0
DELIVERED,755146728346_1,2022-08-13,Uttar Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk avdh,Free Size,1,1350.0,1350.0,Delivered,201009,Uttar Pradesh,64.3,1350,114,1448,2022-08-13,0.0
DELIVERED,910483967612_1,2022-08-30,Assam,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Shipped,788164,Assam,24.72,519,0,519,2022-08-30,0.0
RTO_COMPLETE,933916764856_1,2022-08-23,Chandigarh,FIVESTAR wedding special occasions Lehengha choli with Dupata,6302 green,Semi Stitched,1,2299.0,2299.0,rto,144402,Chandigarh,116.96,2456,0,2456,2022-08-23,1.0
DELIVERED,810704930357_1,2022-08-28,Jammu & Kashmir,Stylish navratri wear gown,Hk1464,XXL,1,1500.0,1350.0,Shipped,182204,Jammu & Kashmir,70.24,1475,0,1475,2022-08-28,0.0
RTO_COMPLETE,486842794529_1,2022-08-15,Delhi,FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work,5400 lavender,Semi Stitched,1,1999.0,1999.0,rto,452001,Delhi,99.86,2097,0,2097,2022-08-15,1.0
DELIVERED,590792915541_1,2022-08-25,Uttar Pradesh,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Delivered,226024,Uttar Pradesh,24.2,508,0,508,2022-08-25,0.0
DELIVERED,756746970573_1,2022-08-15,Tamil Nadu, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Return,600117,Tamil Nadu,64.3,1350,114,1448,2022-08-15,1.0
DELIVERED,263636176870_1,2022-08-25,Rajasthan,top & bottom set,akshar 1090,M,1,1400.0,1400.0,Return,332001,Rajasthan,66.68,1400,81,1465,2022-08-25,1.0
RTO_COMPLETE,668655545003_1,2022-08-18,Andhra Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,rto,533103,Andhra Pradesh,64.3,1350,114,1464,2022-08-18,1.0
DELIVERED,675841565482_1,2022-08-10,Odisha,top & bottom set,akshar 1090,M,1,1368.0,1368.0,Delivered,765015,Odisha,65.14,1368,81,1449,2022-08-10,0.0
DELIVERED,715638312753_1,2022-08-25,Jammu & Kashmir,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Delivered,181224,Jammu & Kashmir,24.72,519,0,519,2022-08-25,0.0
DELIVERED,643537959075_1,2022-08-21,Punjab, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk avdh,Free Size,1,1350.0,1350.0,Delivered,141007,Punjab,64.3,1350,114,1464,2022-08-21,0.0
DELIVERED,796423327995_1,2022-08-30,Chhattisgarh,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1368.0,1368.0,Shipped,495671,Chhattisgarh,65.14,1368,110,1478,2022-08-30,0.0
DELIVERED,520950302337_1,2022-08-06,Telangana, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,Return,505490,Telangana,64.3,1350,114,1464,2022-08-06,1.0
RTO_COMPLETE,781373357372_1,2022-08-29,Bihar,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XL,1,1261.0,1261.0,Shipped,848504,Bihar,60.06,1261,114,1375,2022-08-29,0.0
RTO_COMPLETE,395369627755_1,2022-08-14,Andhra Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,rto,524003,Andhra Pradesh,64.3,1350,114,1464,2022-08-14,1.0
DELIVERED,313945993871_1,2022-08-25,Rajasthan,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,414.0,414.0,Delivered,324002,Rajasthan,23.48,493,0,493,2022-08-25,0.0
DELIVERED,740854251861_1,2022-08-27,Chhattisgarh,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1400.0,1344.0,Delivered,490026,Chhattisgarh,64.0,1344,110,1438,2022-08-27,0.0
DELIVERED,315389638702_1,2022-08-14,Tamil Nadu,Kurta Sets ,45678,XXL,1,500.0,500.0,Delivered,620008,Tamil Nadu,27.68,581,0,581,2022-08-14,0.0
DELIVERED,747803875668_1,2022-08-12,West Bengal, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,Return,700030,West Bengal,64.3,1350,114,1464,2022-08-12,1.0
DELIVERED,507323371165_1,2022-08-31,Karnataka,FIVESTAR Bridal Wedding Gorgette Lehengha with soft net Dupata,6320,Semi Stitched,1,1949.0,1949.0,Shipped,560005,Karnataka,100.3,2106,0,2106,2022-08-31,0.0
DELIVERED,572323669372_1,2022-08-08,West Bengal, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,Return,742102,West Bengal,64.3,1350,114,1464,2022-08-08,1.0
RTO_COMPLETE,120234205854_1,2022-08-25,Kerala,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Shipped,671533,Kerala,24.2,508,0,508,2022-08-25,0.0
DELIVERED,173534645547_1,2022-08-04,Madhya Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,Delivered,452002,Madhya Pradesh,64.3,1350,108,1458,2022-08-04,0.0
DELIVERED,498649084066_1,2022-08-26,Kerala, Georgette Silk Saree With Complete Heavy Sequence N Coding Multi Work N Banglori Silk Blouse,1265610464,Free Size,1,1500.0,1500.0,Return,670604,Kerala,71.44,1500,114,1614,2022-08-26,1.0
RTO_COMPLETE,485706928032_1,2022-08-26,Andhra Pradesh,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,414.0,414.0,Shipped,517520,Andhra Pradesh,23.48,493,0,493,2022-08-26,0.0
DELIVERED,912010011757_1,2022-08-15,State Bank Of India, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Return,735211,State Bank Of India,64.3,1350,114,1464,2022-08-15,1.0
RTO_COMPLETE,748208976472_1,2022-08-23,Jammu & Kashmir,Kalamkari print full flair narkali sut set,Kb 198,M,1,1400.0,1400.0,rto,180001,Jammu & Kashmir,66.68,1400,94,1494,2022-08-23,1.0
DELIVERED,684818289255_1,2022-08-19,Tamil Nadu, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Return,627855,Tamil Nadu,64.3,1350,114,1464,2022-08-19,1.0
DELIVERED,640125783153_1,2022-08-25,Gujarat,Stylish designer digital printed work lehenga choli with duppata ,Dhk 1100,Semi Stitched,1,1500.0,1500.0,Delivered,382415,Gujarat,71.44,1500,148,1648,2022-08-25,0.0
DELIVERED,403153127441_1,2022-08-08,Uttar Pradesh,FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLACK),1101 black,Semi Stitched,1,1749.0,1749.0,Delivered,226016,Uttar Pradesh,87.96,1847,0,1847,2022-08-08,0.0
DELIVERED,882312666682_1,2022-08-20,Uttar Pradesh,FIVESTAR beautiful Designer Saree on premium Soft Net fabric with Sequence and Embroidery work and blouse on Velvet fabric with Sequence and Embroidery work,323,Free Size,1,1399.0,1399.0,Return,229128,Uttar Pradesh,71.52,1502,0,1502,2022-08-20,1.0
DELIVERED,641300392975_1,2022-08-13,odisha, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,Return,752022,odisha,64.3,1350,114,1464,2022-08-13,1.0
DELIVERED,546528163157_1,2022-08-09,Telangana, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Return,500020,Telangana,64.3,1350,114,1448,2022-08-09,1.0
CANCELLED,363376800481_1,2022-08-08,West Bengal,Heavy Soft Butterfly Net With Rose Flower Pattern Ribin Work With Rivet Moti Work With Sleeve gown with duppata,Ad 021,XXL,1,1300.0,1300.0,rto,711227,West Bengal,61.9,1300,114,1414,2022-08-08,1.0
DELIVERED,848334441754_1,2022-08-22,Punjab,FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work,5400 skyblue,Semi Stitched,1,1999.0,1999.0,Delivered,143101,Punjab,99.86,2097,0,2101,2022-08-22,0.0
DELIVERED,354258590368_1,2022-08-15,Assam, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Delivered,782447,Assam,64.3,1350,125,1475,2022-08-15,0.0
RTO_COMPLETE,261363877240_1,2022-08-02,Uttar Pradesh,Heavy faux georgette with embroidery work with moti latkan border with sleev  Dupatta Sets ,Ad 009 a,XXL,1,1500.0,1500.0,rto,247001,Uttar Pradesh,71.44,1500,110,1610,2022-08-02,1.0
DELIVERED,236795271202_1,2022-08-21,Others, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350.0,1350.0,Return,600120,Others,64.3,1350,114,1464,2022-08-21,1.0
DELIVERED,755828660648_1,2022-08-29,Kerala,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Shipped,671121,Kerala,24.72,519,0,519,2022-08-29,0.0
DELIVERED,507304078237_1,2022-08-07,Madhya Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1311.0,1311.0,Return,472118,Madhya Pradesh,62.44,1311,114,1409,2022-08-07,1.0
DELIVERED,963799194113_1,2022-08-25,Uttar Pradesh,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Shipped,285123,Uttar Pradesh,24.2,508,0,502,2022-08-25,0.0
DELIVERED,248244279818_1,2022-08-13,Gujarat,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1400.0,1400.0,Return,395003,Gujarat,66.68,1400,101,1501,2022-08-13,1.0
DELIVERED,851847662041_1,2022-08-10,Maharashtra, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350.0,1350.0,Return,400065,Maharashtra,64.3,1350,105,1439,2022-08-10,1.0
DELIVERED,458878633167_1,2022-08-22,Punjab,FIVESTAR Bridal Wedding Gorgette Lehengha with soft net Dupata,6320,Semi Stitched,1,1949.0,1949.0,Delivered,160055,Punjab,100.3,2106,0,2079,2022-08-22,0.0
RTO_LOCKED,269083456798_1,2022-08-25,Goa,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Shipped,403516,Goa,24.2,508,0,508,2022-08-25,0.0
DELIVERED,437167650973_1,2022-08-22,Odisha,Dupatta Sets,Hk1436,XXL,1,1400.0,1400.0,Delivered,765021,Odisha,71.9,1510,0,1510,2022-08-22,0.0
DELIVERED,736602256273_1,2022-08-24,Gujarat,Stylish designer digital printed work lehenga choli with duppata ,921837737,Semi Stitched,1,1500.0,1500.0,Delivered,382415,Gujarat,71.44,1500,148,1648,2022-08-24,0.0
DELIVERED,384931415630_1,2022-08-22,West Bengal ,FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLUE),1101 blue,Semi Stitched,1,1749.0,1749.0,Delivered,741139,West Bengal,87.96,1847,0,1847,2022-08-22,0.0
CANCELLED,621670207763_1,2022-08-26,West Bengal,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429.0,429.0,Cancelled,735217,West Bengal,24.2,508,0,508,2022-08-26,1.0
DELIVERED,239488734703_1,2022-08-10,Karnataka, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,Delivered,577226,Karnataka,64.3,1350,114,1464,2022-08-10,0.0
DELIVERED,704165208295_1,2022-08-15,Kerala, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350.0,1350.0,Return,682034,Kerala,64.3,1350,117,1451,2022-08-15,1.0
DELIVERED,426207937376_1,2022-08-23,Odisha,top & bottom set,akshar 1090,M,1,1400.0,1400.0,Return,758032,Odisha,66.68,1400,81,1481,2022-08-23,1.0
